NodeID	EnergyConsumption(kWh)	CO2Emission(kg)	SecurityLevel	AIOptimizationScore	SupplyChainEfficiency	B-IoT-G	IoT-BGS	MCGA-DCNN
Node001	5.2	2.6	High	0.85	0.92	0.88	0.91	0.80
Node002	6.8	3.4	Medium	0.78	0.88	0.81	0.83	0.71
Node003	4.7	2.35	High	0.82	0.90	0.85	0.87	0.81
Node004	7.1	3.55	Low	0.72	0.85	0.74	0.76	0.51
Node005	5.9	2.95	High	0.87	0.94	0.90	0.92	0.88
Node006	6.3	3.15	Medium	0.79	0.89	0.82	0.84	0.80
Node007	4.5	2.25	High	0.83	0.91	0.86	0.88	0.85
Node008	7.4	3.7	Medium	0.77	0.87	0.80	0.82	0.78
Node009	5.6	2.8	Low	0.71	0.82	0.73	0.75	0.70
Node010	6.2	3.1	High	0.88	0.95	0.91	0.93	0.89
Node011	5.0	2.5	Medium	0.81	0.89	0.84	0.86	0.82
Node012	7.0	3.5	High	0.84	0.92	0.87	0.89	0.85
Node013	5.3	2.65	Low	0.70	0.80	0.72	0.74	0.69
Node014	6.5	3.25	High	0.89	0.96	0.92	0.94	0.90
Node015	4.8	2.4	Medium	0.80	0.88	0.83	0.85	0.81
Node016	7.3	3.65	Low	0.74	0.84	0.76	0.78	0.73
Node017	5.7	2.85	High	0.85	0.93	0.88	0.90	0.86
Node018	6.1	3.05	Medium	0.78	0.87	0.81	0.83	0.79
Node019	4.9	2.45	High	0.82	0.91	0.85	0.87	0.84
Node020	7.2	3.6	Low	0.73	0.83	0.75	0.77	0.72
Node021	5.4	2.7	High	0.86	0.94	0.89	0.91	0.87
Node022	6.7	3.35	Medium	0.80	0.89	0.83	0.85	0.81
Node023	4.6	2.3	High	0.84	0.92	0.87	0.89	0.86
Node024	7.5	3.75	Low	0.75	0.85	0.77	0.79	0.74
Node025	5.8	2.9	High	0.87	0.95	0.90	0.92	0.88
Node026	6.0	3.0	Medium	0.79	0.88	0.82	0.84	0.80
Node027	4.4	2.2	High	0.83	0.91	0.86	0.88	0.85
Node028	7.1	3.55	Low	0.72	0.82	0.74	0.76	0.71
Node029	5.5	2.75	High	0.88	0.96	0.91	0.93	0.89
Node030	6.6	3.3	Medium	0.81	0.90	0.84	0.86	0.83
Node031	4.3	2.15	High	0.85	0.93	0.88	0.90	0.87
Node032	7.0	3.5	Low	0.71	0.81	0.73	0.75	0.70
Node033	5.9	2.95	High	0.89	0.97	0.92	0.94	0.91
Node034	6.2	3.1	Medium	0.82	0.91	0.85	0.87	0.84
Node035	4.7	2.35	High	0.86	0.94	0.89	0.91	0.88
Node036	7.3	3.65	Low	0.74	0.84	0.76	0.78	0.73
Node037	5.6	2.8	High	0.90	0.98	0.93	0.95	0.92
Node038	6.4	3.2	Medium	0.83	0.92	0.86	0.88	0.85
Node039	4.9	2.45	High	0.87	0.95	0.90	0.92	0.89
Node040	7.6	3.8	Low	0.76	0.86	0.78	0.80	0.75
Node041	5.7	2.85	High	0.91	0.99	0.94	0.96	0.93
Node042	6.3	3.15	Medium	0.84	0.93	0.87	0.89	0.86
Node043	4.8	2.4	High	0.88	0.96	0.91	0.93	0.90
Node044	7.2	3.6	Low	0.73	0.83	0.75	0.77	0.72
Node045	5.5	2.75	High	0.92	1.00	0.95	0.97	0.94
Node046	6.5	3.25	Medium	0.85	0.94	0.88	0.90	0.87
Node047	4.6	2.3	High	0.89	0.97	0.92	0.94	0.91
Node048	7.4	3.7	Low	0.75	0.85	0.77	0.79	0.74
Node049	5.9	2.95	High	0.93	1.01	0.96	0.98	0.95
Node050	6.1	3.05	Medium	0.86	0.95	0.89	0.91	0.88
